"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.0.2.15","192.168.178.1","DNS","75","Standard query 0xcd98 A dns.mullvad.net"
"2","0.000057950","10.0.2.15","192.168.178.1","DNS","75","Standard query 0x2a99 AAAA dns.mullvad.net"
"3","0.011394552","192.168.178.1","10.0.2.15","DNS","91","Standard query response 0xcd98 A dns.mullvad.net A 194.242.2.2"
"4","0.012400631","192.168.178.1","10.0.2.15","DNS","103","Standard query response 0x2a99 AAAA dns.mullvad.net AAAA 2a07:e340::2"
"5","0.013035870","10.0.2.15","194.242.2.2","TCP","74","39436  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2838677325 TSecr=0 WS=128"
"6","0.014239569","10.0.2.15","194.242.2.2","TCP","74","39448  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2838677326 TSecr=0 WS=128"
"7","0.039673605","194.242.2.2","10.0.2.15","TCP","60","443  >  39436 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"8","0.039792394","10.0.2.15","194.242.2.2","TCP","54","39436  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"9","0.051065327","194.242.2.2","10.0.2.15","TCP","60","443  >  39448 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"10","0.051163537","10.0.2.15","194.242.2.2","TCP","54","39448  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"11","0.119469771","10.0.2.15","194.242.2.2","TLSv1.3","713","Client Hello (SNI=dns.mullvad.net)"
"12","0.122847456","194.242.2.2","10.0.2.15","TCP","60","443  >  39448 [ACK] Seq=1 Ack=660 Win=65535 Len=0"
"13","0.135769801","10.0.2.15","194.242.2.2","TLSv1.3","713","Client Hello (SNI=dns.mullvad.net)"
"14","0.138476131","194.242.2.2","10.0.2.15","TCP","60","443  >  39436 [ACK] Seq=1 Ack=660 Win=65535 Len=0"
"15","0.144378028","194.242.2.2","10.0.2.15","TLSv1.3","1274","Server Hello, Change Cipher Spec, Application Data"
"16","0.144430368","10.0.2.15","194.242.2.2","TCP","54","39448  >  443 [ACK] Seq=660 Ack=1221 Win=63440 Len=0"
"17","0.144378458","194.242.2.2","10.0.2.15","TLSv1.3","1542","Application Data, Application Data, Application Data"
"18","0.144475938","10.0.2.15","194.242.2.2","TCP","54","39448  >  443 [ACK] Seq=660 Ack=2709 Win=62780 Len=0"
"19","0.161109437","194.242.2.2","10.0.2.15","TLSv1.3","2763","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data"
"20","0.161290647","10.0.2.15","194.242.2.2","TCP","54","39436  >  443 [ACK] Seq=660 Ack=2710 Win=62780 Len=0"
"21","0.165245873","10.0.2.15","194.242.2.2","TLSv1.3","118","Change Cipher Spec, Application Data"
"22","0.165682013","194.242.2.2","10.0.2.15","TCP","60","443  >  39448 [ACK] Seq=2709 Ack=724 Win=65535 Len=0"
"23","0.170172251","10.0.2.15","194.242.2.2","TLSv1.3","146","Application Data"
